1,3,2,62
1,2,3,60
1,3,4,62
1,2,2,70
1,3,2,69
1,3,4,65
1,2,2,94
1,3,3,35
1,3,2,62
1,3,4,62
1,3,3,33
1,3,1,66
1,3,2,67
1,3,1,61
1,3,2,70
1,3,4,65
1,3,2,61
1,3,4,62
1,3,1,65
1,3,1,60
2,3,3,34
2,2,4,63
2,3,1,66
2,3,1,65
2,3,1,61
2,2,2,68
2,2,4,63
2,3,1,65
2,2,3,60
2,3,2,60
2,3,2,68
2,2,2,93
2,2,4,63
2,3,4,64
2,2,1,59
2,2,3,61
2,3,3,35
2,3,2,64
2,3,4,62
2,3,3,33
2,3,2,66
2,3,3,33
3,2,4,64
3,3,2,70
3,3,3,36
3,3,1,65
3,2,3,61
3,3,1,61
3,2,2,43
3,3,1,67
3,3,3,34
3,3,1,65
3,3,3,35
3,3,4,61
3,3,3,33
3,2,4,63
3,2,2,34
3,3,3,33
3,3,2,89
3,2,1,60
3,3,3,35
3,3,2,93
4,3,1,66
4,3,3,33
4,3,2,67
4,3,4,65
4,2,1,59
4,3,2,60
4,3,1,67
4,3,4,62
4,2,3,60
4,3,2,59
4,3,1,63
4,3,1,67
4,3,3,34
4,3,1,65
4,2,3,60
4,3,3,35
4,2,4,63
4,2,2,34
4,3,2,67
4,3,2,60
4,3,3,35
4,3,4,62
4,3,2,71
5,3,3,35
5,3,1,60
5,3,4,68
5,3,2,61
5,3,1,65
5,3,4,61
5,3,1,64
5,3,3,35
5,3,1,61
5,3,3,35
5,2,2,70
5,3,1,65
5,3,3,35
5,3,3,36
5,3,2,63
5,2,4,63
5,2,2,95
5,3,1,61
5,3,3,35
5,2,4,62
5,3,4,75
6,3,1,63
6,3,2,63
6,3,4,68
6,3,1,65
6,3,2,68
6,3,2,70
6,2,3,57
6,3,3,35
6,3,3,35
6,2,2,34
6,3,1,60
6,3,3,35
6,3,3,35
6,3,1,65
6,3,3,35
6,2,2,34
6,3,2,87
7,3,1,63
7,3,2,63
7,3,1,63
7,2,3,58
7,3,2,67
7,3,1,60
7,3,2,65
7,2,1,59
7,2,3,58
7,3,3,35
7,3,2,61
7,3,3,35
7,3,3,35
7,2,2,34
7,3,3,35
7,3,3,35
7,3,1,59
7,3,4,62
8,2,2,34
8,3,3,35
8,3,3,35
8,3,1,64
8,3,4,68
8,2,2,34
8,3,2,67
8,3,2,63
8,3,1,63
8,3,4,66
8,2,3,59
8,3,3,35
8,3,2,64
8,3,3,35
8,3,2,68
8,3,1,65
8,3,3,35
8,3,2,63
8,3,1,63
8,2,3,59
8,3,3,35
8,3,2,63
8,3,1,60
8,3,2,69
9,3,2,64
9,2,1,60
9,2,4,64
9,3,3,35
9,3,4,70
9,3,3,35
9,3,4,65
9,3,3,35
9,2,1,60
9,2,2,34
9,3,2,64
9,3,1,65
9,3,4,69
9,3,2,64
9,2,1,59
9,3,1,60
9,2,2,34
9,3,1,64
9,3,2,64
9,2,4,64
9,3,1,59
9,3,2,66
9,3,3,35
9,3,1,63
10,3,3,35
10,3,2,63
10,2,4,63
10,3,3,35
10,3,1,59
10,3,2,71
10,3,4,70
10,3,3,35
10,3,1,63
10,3,4,64
10,2,2,34
10,3,4,75
10,3,1,60
10,3,3,35
10,3,3,35
10,2,1,59
10,2,2,34
10,3,3,35
10,2,4,63
10,3,2,64
11,3,3,35
11,3,2,71
11,3,4,65
11,3,3,35
11,3,1,66
11,3,2,65
11,3,4,72
11,3,3,36
11,2,3,59
11,3,1,61
11,3,2,65
11,3,4,71
11,3,3,35
11,3,1,64
11,3,4,67
11,2,4,64
11,3,3,35
11,3,2,66
11,3,3,35
11,2,2,34
11,3,1,61
11,3,3,36
11,3,3,35
11,2,4,64
11,3,1,69
11,3,4,64
12,3,1,62
12,2,1,60
12,3,4,75
12,3,4,71
12,3,2,68
12,3,4,63
12,3,4,73
12,3,3,35
12,2,3,59
12,3,2,64
12,3,3,36
12,3,2,71
12,3,4,62
12,3,2,63
12,3,4,74
12,3,1,61
12,3,3,35
12,3,2,65
12,2,3,59
12,2,2,34
12,3,4,68
12,3,1,63
12,3,3,35
12,2,4,64
13,3,1,65
13,3,1,60
13,2,3,60
13,2,2,34
13,3,1,64
13,3,1,66
13,3,2,70
13,3,2,62
13,3,4,76
13,3,2,62
13,3,4,66
13,2,3,59
13,3,3,35
13,3,2,68
13,3,4,64
13,3,3,35
13,3,2,70
13,3,3,35
13,3,4,68
13,2,1,60
13,3,1,63
13,3,3,36
13,3,4,64
13,3,1,66
13,3,3,35
13,2,2,95
13,3,4,62
13,3,3,35
14,3,4,73
14,3,4,70
14,2,3,59
14,2,2,34
14,3,4,60
14,3,2,62
14,3,1,62
14,3,4,68
14,2,3,60
14,3,3,35
14,3,1,63
14,3,2,65
14,3,3,35
14,3,1,67
14,3,2,64
14,3,3,35
14,2,4,62
14,2,3,63
14,3,3,35
14,3,3,35
14,2,1,60
14,2,2,34
14,3,4,62
14,3,3,35
15,2,4,64
15,3,3,36
15,3,2,63
15,3,2,63
15,3,4,68
15,3,3,34
15,3,4,62
15,3,3,35
15,3,1,64
15,2,2,34
15,3,2,66
15,3,4,77
15,3,1,59
15,3,2,65
15,3,4,64
15,2,3,59
15,3,1,63
15,3,2,62
15,3,4,62
15,3,1,64
15,2,2,34
15,3,2,68
15,3,1,61
15,3,2,63
15,2,3,60
15,3,3,35
15,3,1,63
15,3,2,61
15,3,3,35
15,3,1,65
16,2,2,34
16,2,4,63
16,3,3,35
16,2,1,59
16,3,4,61
16,3,1,66
16,2,2,34
16,3,3,35
16,3,1,59
16,3,2,62
16,3,1,64
16,3,1,64
16,3,2,66
16,2,4,62
16,2,3,60
16,3,2,61
17,2,1,59
17,3,3,35
17,2,4,63
17,2,2,34
17,3,3,35
17,3,2,64
17,3,3,35
17,3,3,35
17,3,1,65
17,2,4,63
17,3,4,68
17,2,3,62
17,3,2,63
17,3,1,65
17,3,1,63
17,3,3,35
17,3,1,60
17,2,3,59
17,3,3,35
18,3,3,35
18,2,1,60
18,3,2,64
18,3,3,35
18,2,4,63
18,2,2,34
18,3,3,35
18,3,4,62
18,2,1,60
18,3,2,64
18,3,1,65
18,2,4,65
18,3,4,75
18,3,1,62
18,3,4,68
18,2,2,34
18,2,1,60
18,3,1,61
18,3,4,63
18,3,3,35
18,3,1,64
18,3,3,35
18,3,1,61
18,2,2,34
18,3,2,66
19,3,3,35
19,3,1,62
19,3,2,66
19,3,3,35
19,3,2,62
19,2,4,63
19,3,2,65
19,3,2,64
19,3,3,35
19,3,2,71
19,3,3,35
19,2,4,62
19,3,4,69
19,3,2,67
19,3,1,61
